,alb_id,alb_title,record_type,alb_num,alb_track_cnt,wk1_alb_sales,tot_alb_plays,avg_daily_alb_streams,avg_song_pop,top_s_cnt,top_alb_count,top_alb_normal,alb_clust_num,days_sr,alb_ann_day,alb_ann_yr,alb_r_day,alb_r_yr,acou_m,dance_m,ener_m,instru_m,live_m,loud_m,speech_m,temp_m,val_m,dur_m
0,1989,1989 (Deluxe Edition),original,5,16,1297000,220933979.5,66949,67.15789473684211,10,464,0.1406060606060606,1,3300.0,19,2014,15,2014,0.06,0.62,0.71,0.0,0.1,-5.92,0.05,120.98,0.49,230733.0
1,1989TV,1989 (Taylor's Version)[Deluxe],Taylor's Version,14,22,1359000,1462293896.0,112484136,79.81818181818181,21,1,0.076923077,4,13.0,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0
2,DEBUT,Debut,original,1,15,39000,1164903748.0,187127,63.13333333333333,5,284,0.04562249,3,6225.0,19,2006,24,2006,0.0868,0.576,0.672,0.0,0.128,-4.931,0.0293,115.028,0.428,213053.0
3,EVER,evermore (deluxe version),original,9,17,154500,3801516966.0,3584268,72.76470588235294,15,151,0.1424863403447875,2,1059.8235294117646,10,2020,11,2020,0.83,0.546,0.517,6.59e-05,0.114,-10.381,0.0377,122.079,0.354,245026.0
4,FEAR,Fearless Platinum Edition,original,2,19,592300,2590571504.0,473068,45.94736842105263,16,261,0.047662527,3,5476.0,15,2008,11,2008,0.13,0.592,0.636,0.0,0.113,-4.993,0.0308,118.982,0.307,244240.0
5,FEARTV,Fearless (Taylor's Version),Taylor's Version,10,26,179000,3776863210.0,4000902,71.61538461538461,8,121,0.1281779661016949,4,944.0,11,2021,9,2021,0.111,0.566,0.625,0.0,0.13,-6.089,0.03435,129.0315,0.4225,241989.5
6,FOLK,folklore (deluxe version),original,8,17,615000,6156253069.0,5119556,73.05882352941177,16,171,0.1423220885168483,2,1201.529411764706,24,2020,24,2020,0.75,0.593,0.376,1.5e-05,0.105,-10.064,0.0363,119.58,0.404,234000.0
7,LOVE,Lover,original,7,18,679000,8029477011.0,5217324,82.61111111111111,18,219,0.1423001949317738,1,1539.0,13,2019,23,2019,0.125,0.7035,0.599,1.82e-05,0.108,-7.8055,0.057,107.0135,0.47,199419.5
8,MIDN,Midnights (The Til Dawn Edition),original,12,23,1140000,7116052008.0,19032283,69.60869565,22,54,0.1535071785631248,2,366.8695652173913,28,2022,21,2022,0.318,0.653,0.451,3.07e-05,0.118,-10.312,0.0651,109.846,0.198,204852.0
9,RED,Red (Deluxe Edition),original,4,22,1208000,3204011914.0,794044,47.86363636363637,11,185,0.045848823,1,4035.0,13,2012,22,2012,0.05775,0.625,0.5994999999999999,3.39e-05,0.102,-6.7765,0.032,109.993,0.4775,238666.5
10,REDTV,Red (Taylor's Version),Taylor's Version,11,30,369000,4062936014.0,5588619,74.26666666666667,26,103,0.1416781292984869,4,727.0,18,2021,12,2021,0.04465,0.6034999999999999,0.586,0.0,0.1085,-6.4385,0.03135,123.024,0.4265,241593.0
11,REP,reputation,original,6,15,1216000,6546494144.0,2989259,82.93333333333334,6,267,0.121917808,1,2190.0,24,2017,10,2017,0.0679,0.649,0.602,2.23e-06,0.13,-6.719,0.0732,128.07,0.305,227906.0
12,SPEAK,Speak Now (Deluxe Edition),original,3,20,1047000,2985801592.0,630440,52.8,17,193,0.040751689,3,4736.0,4,2010,25,2010,0.106,0.5575,0.675,1.31e-06,0.1475,-3.9325,0.03035,136.974,0.363,263299.5
13,SPEAKTV,Speak Now (Taylor's Version),Taylor's Version,13,22,507000,1524439730.0,12195506,79.31818181818181,22,17,0.136,4,125.0,5,2023,7,2023,0.04185,0.534,0.6635,0.0,0.1405,-4.3315,0.03265,131.50150000000002,0.367,274065.5
